community,most_common_crime
ROSELAND,BATTERY
PULLMAN,BATTERY
SOUTH LAWNDALE,BATTERY
NORTH LAWNDALE,BATTERY
WEST PULLMAN,BATTERY
LOWER WEST SIDE,THEFT
LINCOLN PARK,THEFT
SOUTH DEERING,BATTERY
RIVERDALE,BATTERY
NEAR NORTH SIDE,THEFT
GARFIELD RIDGE,THEFT
CLEARING,THEFT
WEST LAWN,THEFT
WEST ELSDON,THEFT
ARCHER HEIGHTS,THEFT
BRIGHTON PARK,BATTERY
GAGE PARK,BATTERY
CHICAGO LAWN,BATTERY
WASHINGTON PARK,BATTERY
ENGLEWOOD,BATTERY
WOODLAWN,BATTERY
GREATER GRAND CROSSING,BATTERY
SOUTH SHORE,BATTERY
ASHBURN,THEFT
HYDE PARK,THEFT
NORWOOD PARK,THEFT
EDISON PARK,DECEPTIVE PRACTICE
OHARE,THEFT
FOREST GLEN,THEFT
JEFFERSON PARK,THEFT
PORTAGE PARK,THEFT
HUMBOLDT PARK,BATTERY
AUSTIN,BATTERY
WEST GARFIELD PARK,BATTERY
DUNNING,THEFT
AUBURN GRESHAM,BATTERY
EAST GARFIELD PARK,BATTERY
NEAR WEST SIDE,THEFT
WEST RIDGE,THEFT
CHATHAM,BATTERY
LOOP,THEFT
ROGERS PARK,THEFT
LINCOLN SQUARE,THEFT
NORTH CENTER,THEFT
UPTOWN,THEFT
EDGEWATER,THEFT
LAKE VIEW,THEFT
NEAR SOUTH SIDE,THEFT
AVONDALE,THEFT
LOGAN SQUARE,THEFT
DOUGLAS,THEFT
WEST TOWN,THEFT
MCKINLEY PARK,THEFT
BRIDGEPORT,THEFT
ARMOUR SQUARE,THEFT
AVALON PARK,BATTERY
CALUMET HEIGHTS,THEFT
SOUTH CHICAGO,BATTERY
NEW CITY,BATTERY
BURNSIDE,BATTERY
FULLER PARK,BATTERY
BEVERLY,THEFT
MOUNT GREENWOOD,DECEPTIVE PRACTICE
MORGAN PARK,THEFT
WASHINGTON HEIGHTS,BATTERY
NORTH PARK,THEFT
EAST SIDE,BATTERY
ALBANY PARK,THEFT
HEGEWISCH,BATTERY
IRVING PARK,THEFT
WEST ENGLEWOOD,BATTERY
MONTCLARE,THEFT
BELMONT CRAGIN,BATTERY
OAKLAND,BATTERY
GRAND BOULEVARD,BATTERY
HERMOSA,BATTERY
KENWOOD,THEFT
